Status,Lifeexpectancy,AdultMortality,infantdeaths,Alcohol,percentageexpenditure,Measles,BMI,under-fivedeaths,Polio,Totalexpenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness1-19years,thinness5-9years,Incomecompositionofresources,Schooling
Developing,73.4,158.0,9,4.13,14.5887403,2,44.3,10,9.0,3.86,89.0,0.3,193.741571,12852755.0,1.6,1.5,0.67,12.4
Developing,50.0,284.0,58,0.1,13.35783844,21319,13.6,128,41.0,6.1,34.0,1.5,158.455972,11352973.0,12.8,12.9,0.253,2.8
Developing,65.3,27.0,0,0.48,18.21661422,0,75.2,0,95.0,1.52,91.0,0.1,1493.1651,12652.0,0.1,0.1,0.584,11.9
Developing,59.5,272.0,1,0.08,19.71741043,0,17.6,2,7.0,2.86,7.0,0.1,395.9319363,555888.0,7.8,7.8,0.0,8.5
Developed,81.0,79.0,2,11.96,3715.370095,26,59.9,2,97.0,8.5,97.0,0.1,24918.64584,42921895.0,0.6,0.5,0.833,15.6
Developing,59.3,251.0,25,0.01,9.80407467,288,24.1,39,8.0,4.86,8.0,1.3,837.9551,972916.0,7.4,7.3,0.458,10.0
Developing,74.6,121.0,0,6.17,709.1311228,0,57.8,0,95.0,6.13,95.0,0.1,7325.73474,616969.0,2.1,2.1,0.774,14.2
Developed,79.2,77.0,1,9.56,5170.130703,11,55.0,1,98.0,8.52,98.0,0.1,39954.64222,16281779.0,1.0,1.0,0.885,16.5
Developed,87.0,59.0,0,6.91,3601.287457,3,68.0,0,96.0,9.6,96.0,0.1,22821.847,416268.0,0.8,0.7,0.826,14.8
Developing,73.0,193.0,4,3.51,22.35595448,0,43.5,5,89.0,5.26,87.0,0.4,143.6758,5175.0,2.2,2.1,0.57,10.4
Developing,67.5,217.0,60,4.21,155.4767618,341,21.6,78,91.0,4.5,91.0,0.1,1919.466195,9751864.0,1.0,9.7,0.655,11.5
Developing,56.1,339.0,3,9.93,1192.696619,0,22.1,4,59.0,3.84,44.0,7.2,17136.44568,95114.0,9.0,9.0,0.589,9.2
Developed,73.4,177.0,1,13.16,1299.459306,1,59.3,1,99.0,8.1,99.0,0.1,11398.76584,17137.0,2.0,2.0,0.802,15.2
Developing,75.3,125.0,8,5.38,946.6521165,0,54.2,11,71.0,5.23,88.0,0.1,6583.116248,3565716.0,1.1,1.1,0.731,13.4
Developing,68.1,217.0,56,5.02,212.7418488,1536,23.7,71,88.0,4.46,88.0,0.1,2581.818554,96866642.0,1.0,9.7,0.666,11.6
Developed,81.3,61.0,0,6.21,2094.19096,4,59.8,0,95.0,9.16,95.0,0.1,11563.727,518573.0,0.7,0.7,0.941,17.6
